,(Intercept),Drainage,EstLarvalAge,SampDist,SampSize,TreatMonth,YearSinceTreat,EstLarvalAge:YearSinceTreat,SampDist:SampSize,TreatMonth:YearSinceTreat,df,logLik,AICc,delta,weight
124,-15.890145730497,0.0335113848270658,64.9821157214054,NA,1.32426508818652,+,33.8849327477994,-42.4475514252009,NA,NA,12,-112.097990271457,292.767409114343,49.9949538764481,3.08285944293686e-12
54,70.1114204557155,0.0565226804101925,NA,2.20255817351737,NA,+,41.1845562690197,NA,NA,NA,10,-124.814101718497,294.072647881439,51.3001926435445,1.60518364935968e-12
52,66.6538280767527,0.0580001585980519,1.21662336418296,NA,NA,+,42.5870284882733,NA,NA,NA,10,-124.831664575688,294.10777359582,51.3353183579256,1.57723815782098e-12
192,20.2033656486541,0.0527407052083615,-21.3803182631692,-8.36381464557792,1.95253248579444,+,2.97532222600197,NA,-0.0942734269806708,NA,13,-104.569419513687,295.80550569404,53.0330504561457,6.74900009614222e-13
24,115.717557737145,0.0390887482533946,9.79764343254978,7.16925867554321,NA,+,NA,NA,NA,NA,10,-125.752953943927,295.950352332298,53.1778970944034,6.27749515897095e-13
128,29.6646992977297,0.0496087380274999,7.27818801245083,-25.3679646366863,1.63318811390604,+,28.6943543500226,-35.2011525242519,NA,NA,13,-104.74414432482,296.154955316306,53.3825000784119,5.6670548097101e-13
55,84.3082409376741,NA,23.6973379010645,9.04089489815588,NA,+,24.1402940850913,NA,NA,NA,10,-126.084789224248,296.614022892941,53.8415676550469,4.50476515819958e-13
115,55.8384222700648,NA,54.1551259197996,NA,NA,+,71.4481804908323,-44.6193969222365,NA,NA,10,-126.096851629418,296.638147703281,53.8656924653862,4.45075326722375e-13
255,-61.8862287941971,NA,75.8456272192418,5.96532220641165,2.17314662671459,+,59.7009641375534,-69.918655140959,-0.144875188791146,NA,13,-108.117283785212,302.901234237091,60.1287789991967,1.94277076105232e-14
56,61.159857245866,0.0558589319294817,7.37081447226316,2.91800093948359,NA,+,41.0848685085619,NA,NA,NA,11,-124.806791152441,304.613582304881,61.8411270669868,8.2525829861458e-15
116,63.0847870099515,0.0573312682170689,5.21038674421092,NA,NA,+,45.982642513914,-3.59004966954619,NA,NA,11,-124.830286223153,304.660572446305,61.8881172084108,8.06094801929884e-15
119,33.8773638965723,NA,73.2186590575745,9.09695611157225,NA,+,68.8483657228678,-44.9113841296264,NA,NA,11,-125.862783016656,306.725566033313,63.9531107954184,2.87063820565306e-15
314,-55.3311228947653,0.042016458669613,NA,NA,2.16289032494287,+,32.1609159835111,NA,NA,+,14,-97.4268971373447,306.853794274689,64.0813390367948,2.6923657165853e-15
305,-19.4292188363635,NA,NA,NA,NA,+,132.274142989091,NA,NA,+,12,-119.235987517517,307.043403606462,64.2709483685672,2.44884280817744e-15
315,-18.6004897101164,NA,-20.5634639551427,NA,2.06438578578221,+,42.7621769967786,NA,NA,+,14,-102.482640896729,316.965281793459,74.192826555564,1.71574378808186e-17
317,-48.7001657288135,NA,NA,6.71375187976172,2.11869077021706,+,42.326089380785,NA,NA,+,14,-102.716942078456,317.433884156913,74.6614289190182,1.35736524456964e-17
120,55.3956979481945,0.0547288160836447,13.8212072445051,3.04880522350639,NA,+,46.2672892451624,-5.55036300021339,NA,NA,12,-124.803538093617,318.178504758662,75.4060495207672,9.35415184810479e-18
256,-21.9530469778097,0.0447932867110536,22.7788920562311,-6.74995506551062,1.99638138770085,+,38.1050902852206,-37.8299551583416,-0.100300216527695,NA,14,-103.374363625115,318.74872725023,75.976272012336,7.03367301684632e-18
309,-15.9768751299502,NA,NA,-17.2617185320675,NA,+,132.274142989091,NA,NA,+,13,-118.850390155057,324.367446976781,81.5949917388866,4.23733390975542e-19
306,-23.4715339427625,0.0229795690803038,NA,NA,NA,+,127.740900725067,NA,NA,+,13,-118.976337912443,324.619342491552,81.8468872536575,3.73589165326883e-19
307,11.9612751936085,NA,-23.0196956219796,NA,NA,+,130.181443387093,NA,NA,+,13,-119.114096594472,324.89485985561,82.1224046177158,3.25511575482325e-19
316,-36.2480993338569,0.0409211348969417,-13.8095220504073,NA,2.15840082898588,+,31.3121819060749,NA,NA,+,15,-97.0385227645421,344.077045529084,101.30459029119,2.22437365457126e-23
318,-55.4486893088099,0.041829014148418,NA,0.519178371685716,2.16643338208284,+,32.0474747950225,NA,NA,+,15,-97.4242771222985,344.848554244597,102.076099006703,1.51243512080712e-23
310,-20.6399852292554,0.0324486560559616,NA,-22.4862359756715,NA,+,125.872908112597,NA,NA,+,14,-118.34257424485,348.685148489699,105.912693251805,2.22111425162139e-24
311,45.3052218122075,NA,-43.9340329696422,-24.1219784498396,NA,+,128.280139991851,NA,NA,+,14,-118.445762090186,348.891524180373,106.119068942478,2.00335072213342e-24
308,3.42594081999939,0.0214862338034349,-19.5321745753092,NA,NA,+,126.259842813749,NA,NA,+,14,-118.887538657546,349.775077315091,107.002622077197,1.28794068218251e-24
379,-88.4793879917735,NA,43.3307620012361,NA,2.13404283723268,+,91.032980151182,-49.9614451769428,NA,+,15,-100.046776506422,350.093553012844,107.321097774949,1.09834744069529e-24
371,-10.4350906846706,NA,-2.2616631231232,NA,NA,+,146.843642437392,-16.2526157054438,NA,+,14,-119.069659099718,350.139318199435,107.366862961541,1.07349977661224e-24
319,-24.179263130463,NA,-17.2987168629657,3.7257258324992,2.0933423679178,+,41.8296336544927,NA,NA,+,15,-102.409418372731,354.818836745462,112.046381507567,1.03432594142044e-25
445,-51.537106261558,NA,NA,11.2196815219591,2.27455989451836,+,36.0916245517477,NA,-0.0450938750460432,+,15,-102.535936810683,355.071873621366,112.299418383471,9.11404477194896e-26
312,39.5421812541977,0.0319540142636932,-43.094515796859,-29.1357643834249,NA,+,122.052804193721,NA,NA,+,15,-117.933004730449,385.866009460899,143.093554223004,1.87434495952593e-32
375,13.9681179412431,NA,-14.4413432733117,-25.2035559572924,NA,+,152.621005497871,-23.8256830869889,NA,+,15,-118.344771468944,386.689542937888,143.917087699994,1.24171377863638e-32
372,-10.2097284153034,0.0204411961807503,-6.67883323117365,NA,NA,+,136.903942806465,-10.1964026934515,NA,+,15,-118.870214349173,387.740428698347,144.967973460452,7.34217204460325e-33
380,-90.6931104407526,0.0372420602143543,36.8161549021722,NA,2.20580202840851,+,71.0470364678215,-40.0610491295786,NA,+,16,-94.3763647520804,402.086062837494,159.3136075996,5.63261002530735e-36
320,-33.331169456267,0.0415501093040566,-15.5714625603434,-2.12919339048304,2.14329764951586,+,31.6691246187224,NA,NA,+,16,-96.9990870120651,407.331507357464,164.559052119569,4.0895533558877e-37
446,-56.6022626321774,0.0413760169672383,NA,2.53457229994786,2.23331222667994,+,29.4630838765452,NA,-0.0194980346941956,+,16,-97.3680034765094,408.069340286352,165.296885048458,2.82785732441971e-37
383,-91.2665080679047,NA,44.7742679655083,2.24186944049134,2.15089882247475,+,90.0782536962528,-49.5540699908979,NA,+,16,-100.013202586514,413.359738506362,170.587283268467,2.00753033728489e-38
447,-29.6486307725834,NA,-14.8719580250319,7.36827579715821,2.20840131396856,+,37.4393765681887,NA,-0.0322584691480217,+,16,-102.320508610344,417.974350554021,175.201895316127,1.99807526135184e-39
376,18.5965879364483,0.0304811421734039,-23.1704138074712,-29.6367518356125,NA,+,138.815512654216,-16.1269558640133,NA,+,16,-117.885551329807,449.104435992947,206.331980755052,3.47375895284582e-46
384,-87.2041322127209,0.0380549359996008,34.8419240727133,-2.84528734799306,2.18597538880787,+,71.822505914927,-40.3619785803892,NA,+,17,-94.2843935037897,528.568787007579,285.796331769685,1.92901276812363e-63
448,-34.3940539540865,0.0414087874507786,-15.0919240162095,-1.38067698466746,2.1661424486017,+,30.8255201144097,NA,-0.00645251241860123,+,17,-96.9930846823407,533.986169364681,291.213714126787,1.2851844737504e-64
511,-97.5378452917095,NA,47.6947350875766,6.22151198712136,2.27705133871116,+,85.4799876435091,-49.765552552231,-0.0352998476105632,+,17,-99.8776443356298,539.755288671259,296.982833433365,7.18153249773789e-66
512,-89.2170947838419,0.0377989939355541,35.8334078935164,-1.55103249762907,2.22568208662635,+,70.4893764227741,-40.4907608007879,-0.0111766934023435,+,18,-94.2607786867544,908.521557373509,665.749102135614,6.02059377682281e-146
